q_id,q_set,opt1_a2,opt1_a3,opt2_a2,opt2_a3
Q66,1,0,12,0,12
Q67,1,0,12,0,18
Q68,1,0,12,0,32
Q108,1,0,12,3,12
Q110,1,0,12,3,18
Q111,1,0,12,3,32
Q112,1,0,12,7,12
Q113,1,0,12,7,18
Q114,1,0,12,7,32
Q115,1,0,18,0,12
Q116,1,0,18,0,18
Q117,1,0,18,0,32
Q118,1,0,18,3,12
Q119,1,0,18,3,18
Q120,1,0,18,3,32
Q121,1,0,18,7,12
Q122,1,0,18,7,18
Q123,1,0,18,7,32
Q124,1,0,32,0,12
Q125,1,0,32,0,18
Q126,1,0,32,0,32
Q127,1,0,32,3,12
Q128,1,0,32,3,18
Q129,1,0,32,3,32
Q130,1,0,32,7,12
Q131,1,0,32,7,18
Q132,1,0,32,7,32
Q133,1,3,12,0,12
Q134,1,3,12,0,18
Q135,1,3,12,0,32
Q136,1,3,12,3,12
Q137,1,3,12,3,18
Q138,1,3,12,3,32
Q139,1,3,12,7,12
Q140,1,3,12,7,18
Q141,1,3,12,7,32
Q142,1,3,18,0,12
Q143,1,3,18,0,18
Q144,1,3,18,0,32
Q145,1,3,18,3,12
Q146,1,3,18,3,18
Q147,1,3,18,3,32
Q148,1,3,18,7,12
Q149,1,3,18,7,18
Q150,1,3,18,7,32
Q151,1,3,32,0,12
Q152,1,3,32,0,18
Q153,1,3,32,0,32
Q154,1,3,32,3,12
Q155,1,3,32,3,18
Q156,1,3,32,3,32
Q157,1,3,32,7,12
Q158,1,3,32,7,18
Q159,1,3,32,7,32
Q160,1,7,12,0,12
Q161,1,7,12,0,18
Q162,1,7,12,0,32
Q163,1,7,12,3,12
Q164,1,7,12,3,18
Q165,1,7,12,3,32
Q166,1,7,12,7,12
Q167,1,7,12,7,18
Q168,1,7,12,7,32
Q169,1,7,18,0,12
Q170,1,7,18,0,18
Q171,1,7,18,0,32
Q172,1,7,18,3,12
Q173,1,7,18,3,18
Q174,1,7,18,3,32
Q175,1,7,18,7,12
Q176,1,7,18,7,18
Q177,1,7,18,7,32
Q178,1,7,32,0,12
Q179,1,7,32,0,18
Q180,1,7,32,0,32
Q181,1,7,32,3,12
Q182,1,7,32,3,18
Q183,1,7,32,3,32
Q184,1,7,32,7,12
Q185,1,7,32,7,18
Q186,1,7,32,7,32
Q86,2,0,12,7,32
Q187,2,0,12,0,12
Q188,2,0,12,0,18
Q189,2,0,12,0,32
Q190,2,0,12,3,12
Q191,2,0,12,3,18
Q192,2,0,12,3,32
Q193,2,0,12,7,12
Q194,2,0,12,7,18
Q195,2,0,18,0,12
Q196,2,0,18,0,18
Q197,2,0,18,0,32
Q198,2,0,18,3,12
Q199,2,0,18,3,18
Q200,2,0,18,3,32
Q201,2,0,18,7,12
Q202,2,0,18,7,18
Q203,2,0,18,7,32
Q204,2,0,32,0,12
Q205,2,0,32,0,18
Q206,2,0,32,0,32
Q207,2,0,32,3,12
Q208,2,0,32,3,18
Q209,2,0,32,3,32
Q210,2,0,32,7,12
Q211,2,0,32,7,18
Q212,2,0,32,7,32
Q213,2,3,12,0,12
Q214,2,3,12,0,18
Q215,2,3,12,0,32
Q216,2,3,12,3,12
Q217,2,3,12,3,18
Q218,2,3,12,3,32
Q219,2,3,12,7,12
Q220,2,3,12,7,18
Q221,2,3,12,7,32
Q222,2,3,18,0,12
Q223,2,3,18,0,18
Q224,2,3,18,0,32
Q225,2,3,18,3,12
Q226,2,3,18,3,18
Q227,2,3,18,3,32
Q228,2,3,18,7,12
Q229,2,3,18,7,18
Q230,2,3,18,7,32
Q231,2,3,32,0,12
Q232,2,3,32,0,18
Q233,2,3,32,0,32
Q234,2,3,32,3,12
Q235,2,3,32,3,18
Q236,2,3,32,3,32
Q237,2,3,32,7,12
Q238,2,3,32,7,18
Q239,2,3,32,7,32
Q240,2,7,12,0,12
Q241,2,7,12,0,18
Q242,2,7,12,0,32
Q243,2,7,12,3,12
Q244,2,7,12,3,18
Q245,2,7,12,3,32
Q246,2,7,12,7,12
Q247,2,7,12,7,18
Q248,2,7,12,7,32
Q249,2,7,18,0,12
Q250,2,7,18,0,18
Q251,2,7,18,0,32
Q252,2,7,18,3,12
Q253,2,7,18,3,18
Q254,2,7,18,3,32
Q255,2,7,18,7,12
Q256,2,7,18,7,18
Q257,2,7,18,7,32
Q258,2,7,32,0,12
Q259,2,7,32,0,18
Q260,2,7,32,0,32
Q261,2,7,32,3,12
Q262,2,7,32,3,18
Q263,2,7,32,3,32
Q264,2,7,32,7,12
Q265,2,7,32,7,18
Q266,2,7,32,7,32
