zip,lat,lon,urban,records_2020,records_2021
6905,41.0883695,-73.542914,1,26,26
10001,40.7506364,-73.9971767,1,27,26
90270,33.9877293,-118.1865973,1,14,14
32082,30.1252263,-81.369578,1,11,11
90011,34.00709,-118.2586805,1,9,9
90012,34.0659747,-118.2386422,1,7,7
87111,35.143902,-106.4875047,1,6,5
10013,40.7201028,-74.0049013,1,6,5
98052,47.6822538,-122.1204505,1,5,5
6820,41.076202,-73.4800804,1,4,4
7306,40.7349239,-74.0718746,1,4,4
11373,40.7388426,-73.8785385,1,4,4
46011,40.1300988,-85.7607628,1,3,4
72364,35.2175357,-90.1892239,1,4,4
34741,28.3062991,-81.426933,1,4,4
33010,25.8332017,-80.2787199,1,4,4
33133,25.7286319,-80.2409945,1,4,4
21234,39.3934171,-76.5342276,1,3,4
73110,35.4611809,-97.3976417,1,3,4
94533,38.2807448,-122.0063799,1,3,3
75165,32.3733515,-96.7870853,1,3,3
27405,36.1153786,-79.7346414,1,3,3
37754,36.1390993,-84.0298007,1,3,3
85086,33.8161366,-112.1199706,1,2,3
85202,33.3797573,-111.8750177,1,3,3
54304,44.49279,-88.0673006,1,3,3
32712,28.7483162,-81.4797752,1,3,3
75006,32.9621408,-96.8985846,1,2,3
75013,33.1143268,-96.6939636,1,3,3
75038,32.8747756,-96.9968618,1,3,3
75060,32.7964826,-96.9548063,1,3,3
75068,33.175092,-96.9521253,1,3,3
75087,32.9439006,-96.4528754,1,3,3
30303,33.7532705,-84.3899375,1,3,3
30309,33.7998961,-84.3858005,1,1,3
6854,41.0839099,-73.426615,1,3,3
44128,41.4398709,-81.5385177,1,3,3
44142,41.3996616,-81.8343319,1,4,3
48105,42.3276344,-83.6964436,1,2,3
30606,33.9375526,-83.4249589,1,2,3
79925,31.7969504,-106.3568802,1,3,3
97030,45.5092032,-122.4334679,1,3,3
32003,30.0955841,-81.7101617,1,3,3
60050,42.3311469,-88.2951796,1,3,3
32225,30.3577559,-81.5058287,1,3,3
34753,28.5770777,-81.8859138,1,3,3
