,RAPID_TRANSIT_ACCESS,TOTAL_EMPLOYMENT,POP_FEMALE_PERC,POP_AGE_45_64_PERC,POP_AGE_65_PERC,TENURE_OWN_PERC,AVG_HH_SIZE_RENT,CONNECTED_NODE_RATIO,TRIP_VMT,RESIDENTIAL_ROADS_PERC
RAPID_TRANSIT_ACCESS,1,0.24,-0.13,-0.23,-0.15,-0.42,-0.13,-0.08,0.28,-0.18
TOTAL_EMPLOYMENT,0.24,1,-0.18,-0.07,-0.09,-0.29,-0.22,-0.23,0.52,-0.38
POP_FEMALE_PERC,-0.13,-0.18,1,0.1,0.26,0.21,0.06,0.11,-0.22,0.11
POP_AGE_45_64_PERC,-0.23,-0.07,0.1,1,0.04,0.48,-0.09,-0.1,-0.17,0.22
POP_AGE_65_PERC,-0.15,-0.09,0.26,0.04,1,0.43,-0.4,-0.09,-0.15,0.09
TENURE_OWN_PERC,-0.42,-0.29,0.21,0.48,0.43,1,0.2,0.07,-0.29,0.37
AVG_HH_SIZE_RENT,-0.13,-0.22,0.06,-0.09,-0.4,0.2,1,0.27,-0.17,0.25
CONNECTED_NODE_RATIO,-0.08,-0.23,0.11,-0.1,-0.09,0.07,0.27,1,-0.21,0.37
TRIP_VMT,0.28,0.52,-0.22,-0.17,-0.15,-0.29,-0.17,-0.21,1,-0.34
RESIDENTIAL_ROADS_PERC,-0.18,-0.38,0.11,0.22,0.09,0.37,0.25,0.37,-0.34,1
