INTR_PER_ACRE,RAPID_TRANSIT_ACCESS,TOTAL_EMPLOYMENT,JOBS_PPL_PER_ARCE,POP_FEMALE_PERC,POP_AGE_18_34_PERC,POP_AGE_45_64_PERC,POP_AGE_65_PERC,EDU_2_PERC,RACE_BAA_PERC,RACE_OTHER,VEH_1,TENURE_OWN_PERC,AVG_HH_SIZE_RENT,CONNECTED_NODE_RATIO,TRIP_ORIGINS,TRIP_DESTI,TRIP_ACTIV,TRIP_VMT,RESIDENTIAL_ROADS_PERC
0.03,0,4780,0.09,0.48,0.32,0.245,0.1,0.02,0,5321,524,0.44,2.5,0.09,0,5,5,1637,0.62
0.18,0,1765,1.02,0.51,0.24,0.208,0.12,0.05,0.1,1910,322,0.7,4.67,0.24,0,4,4,33,0.85
0.03,0,235,0.03,0.51,0.12,0.326,0.39,0.16,0.01,326,354,0.83,2.4,0.05,0,3,3,477,0.9
0.08,0,343,0.3,0.48,0.18,0.303,0.23,0.09,0,304,231,0.75,3.82,0.11,0,0,0,0,0.61
0.03,0,1420,0.11,0.48,0.24,0.225,0.25,0.09,0.02,681,210,0.83,3.72,0.2,0,1,1,10,0.74
0.1,0,889,0.13,0.54,0.25,0.188,0.17,0.05,0.1,651,117,0.64,3.14,0.21,0,3,3,1326,0.81
0.08,0,747,0.57,0.47,0.23,0.242,0.13,0.07,0.06,476,324,0.5,3.7,0.24,0,1,1,13,0.87
0.54,0,316,4.43,0.5,0.24,0.226,0.27,0.06,0,432,445,0.61,2.5,0.25,0,14,14,26,0.8
0.76,0,152,6.44,0.52,0.13,0.302,0.07,0.22,0.02,270,156,0.94,3.41,0.25,0,30,30,63,0.85
0.84,1,531,9.32,0.5,0.24,0.232,0.17,0.13,0.04,474,106,0.82,3.87,0.25,109,87,196,310,0.86
1.34,0,907,7.9,0.52,0.25,0.233,0.12,0.13,0.06,390,389,0.71,3.92,0.13,70,44,114,359,0.81
1.17,1,2647,6.57,0.48,0.54,0.155,0.05,0.16,0.04,688,865,0.3,2.12,0.09,266,272,538,9451,0.42
0.94,0,817,8.96,0.54,0.21,0.257,0.13,0.13,0.04,439,469,0.64,2.81,0.17,15,8,23,152,0.87
0.82,0,663,3.59,0.45,0.17,0.278,0.16,0.19,0.01,222,89,0.93,4.82,0.17,99,57,156,615,0.68
0.5,0,427,8.62,0.49,0.22,0.24,0.1,0.15,0.02,133,250,0.73,3,0.31,16,12,28,71,0.83
0.96,1,795,9.71,0.5,0.27,0.213,0.11,0.11,0.06,627,687,0.52,3.01,0.19,47,69,116,337,0.8
1.24,0,765,8.36,0.52,0.12,0.272,0.33,0.14,0.02,162,151,0.62,2.34,0.15,54,36,90,277,0.75
